lead_id,name,headline,bio,linkedin_url,instagram_url,website,follower_count,is_business_account,company_name,company_size,company_industry,location,source,discovered_via_keyword,created_at
,"Atlanta SEO Pro, LLC",Potential white-label AI chatbot and automation partner for local business clients,,,,https://atlantaseo.pro,,False,"Atlanta SEO Pro, LLC",,SEO / digital marketing agency,"Atlanta, Georgia",linkedin_company,digital marketing agency,
,EverSpark Interactive,Agency partner fit; can bundle chatbot and lead qualification workflows into client services,,,,https://www.eversparkinteractive.com,,False,EverSpark Interactive,,Digital marketing / web agency,"Atlanta, Georgia",linkedin_company,digital marketing agency,
,Brown Bag Marketing,Potential referral/white-label partner for fixed-price chatbot and email automation packages,,,,https://brownbagmarketing.com/,,False,Brown Bag Marketing,,Marketing agency,"Atlanta, Georgia",linkedin_company,digital marketing agency,
,"Hughes Media, Inc.",Marketing agency; fit for AI workflow automation add-on and white-label chatbot development,,,,https://www.hughesmedia.us/,,False,"Hughes Media, Inc.",,Digital marketing agency,"Atlanta, Georgia",linkedin_company,digital marketing agency,
,Creative Juice,Agency that may add website chatbot upsells and automated inquiry routing,,,,http://www.itscreativejuice.com,,False,Creative Juice,,Creative / web / marketing agency,"Atlanta, Georgia",linkedin_company,web design agency,
,Ecobel Med Spa,Appointment-heavy med spa; strong fit for FAQ/booking chatbot,,,,http://ecobelmedspa.com,,False,Ecobel Med Spa,,Med spa / wellness,"Atlanta, Georgia",linkedin_company,med spa owner,
,London Med Spa,Med spa; strong fit for appointment and routine inquiry automation,,,,http://londonmedspa.com,,False,London Med Spa,,Med spa / wellness,"Atlanta, Georgia",linkedin_company,med spa owner,
,Aria Med Spa,Med spa; strong fit for service FAQ and booking assistant,,,,http://ariamedspa.com,,False,Aria Med Spa,,Med spa / wellness,"Atlanta, Georgia",linkedin_company,med spa owner,
,The Fountain Laser and Med Spa,Laser/med spa; strong fit for treatment FAQ chatbot and intake automation,,,,http://www.thefountainlaser.net/,,False,The Fountain Laser and Med Spa,,Med spa / wellness,"Atlanta, Georgia",linkedin_company,med spa owner,
,Bella By Alethea Medspa & Boutique,"Medspa and boutique; fit for booking, service FAQ, and customer inquiry automation",,,,http://bellabyalethea.com,,False,Bella By Alethea Medspa & Boutique,,Med spa / boutique,"Atlanta, Georgia",linkedin_company,boutique owner,
,Sculpted Contours MedSpa,Body contouring med spa; fit for consultation intake and FAQ assistant,,,,http://www.sculptedcontours.com,,False,Sculpted Contours MedSpa,,Med spa / body contouring,"Atlanta, Georgia",linkedin_company,med spa owner,
,Skin Aesthetics MedSpa & Laser Center,Medspa and laser center; fit for service education chatbot and booking automation,,,,http://skinatlanta.com,,False,Skin Aesthetics MedSpa & Laser Center,,Med spa / laser center,"Atlanta, Georgia",linkedin_company,med spa owner,
,DreamBody Luxe Med Spa,Body sculpting med spa; fit for consultation intake and lead qualification,,,,http://www.dreambodysculpt.com,,False,DreamBody Luxe Med Spa,,Med spa / body sculpting,"Atlanta, Georgia",linkedin_company,med spa owner,
,Dunwoody Med Spa,Med spa; strong fit for FAQ/booking assistant,,,,http://dunwoodymedspa.com,,False,Dunwoody Med Spa,,Med spa,"Atlanta, Georgia",linkedin_company,med spa owner,
,My Beautiful Med Spa,Med spa; strong fit for routine inquiry automation,,,,https://www.mybeautifulmedspa.com,,False,My Beautiful Med Spa,,Med spa,"Atlanta, Georgia",linkedin_company,med spa owner,
,Skinsations Med Spa,"High fit for website FAQ + booking assistant for services, pricing, availability, and consultations",,,https://www.instagram.com/skinsationsmedspa/,,,False,Skinsations Med Spa,,Med spa,"Atlanta, Georgia",instagram,med spa owner,
,NYAH Atlanta Med Spa,High fit for AI booking assistant and automated lead follow-up for treatment inquiries,,,https://www.instagram.com/nyahmedspa_/,,,False,NYAH Atlanta Med Spa,,Med spa,"Atlanta, Georgia",instagram,med spa owner,
,Pure Bliss Med Spa,"High fit for FAQ chatbot covering treatment options, pre-care/post-care, and appointments",,,https://www.instagram.com/pureblissmedspa/,,,False,Pure Bliss Med Spa,,Med spa,"Atlanta, Georgia",instagram,med spa owner,
,North Atlanta Med Spa,High fit for consultation intake automation and routine DM/email inquiries,,,https://www.instagram.com/north_atlanta_med_spa/,,,False,North Atlanta Med Spa,,Med spa,"Atlanta, Georgia",instagram,med spa owner,
,Skinship Aesthetics,High fit for skincare service FAQ assistant and booking request routing,,,https://www.instagram.com/skinship_aesthetics/,,,False,Skinship Aesthetics,,Med spa / skincare,"Atlanta, Georgia",instagram,spa owner,
,Radiance Atlanta Med Spa,High fit for consultation inquiry sorting and response templates,,,https://www.instagram.com/radiancemedspaatl/,,,False,Radiance Atlanta Med Spa,,Med spa,"Atlanta, Georgia",instagram,med spa owner,
,Conqr Aesthetics & Wellness,"High fit for appointment FAQs, pricing questions, and lead qualification assistant",,,https://www.instagram.com/conqraesthetics/,,,False,Conqr Aesthetics & Wellness,,Aesthetics / wellness,"Atlanta, Georgia",instagram,wellness clinic,
,MasterFace Atlanta,"High fit for service education chatbot, FAQs, and consultation scheduling",,,https://www.instagram.com/masterfaceatl/,,,False,MasterFace Atlanta,,Aesthetic med spa,"Atlanta, Georgia",instagram,med spa owner,
,Atlanta Wellness Clinic,High fit for client intake assistant and wellness service FAQ automation,,,https://www.instagram.com/atlantawellnessclinic/,,,False,Atlanta Wellness Clinic,,Wellness clinic,"Atlanta, Georgia",instagram,wellness clinic,
,SEAMLESS Aesthetics & Wellness,High fit for booking assistant and routine inquiry automation,,,https://www.instagram.com/seamlessaestheticswellness/,,,False,SEAMLESS Aesthetics & Wellness,,Aesthetics / wellness,"Atlanta, Georgia",instagram,wellness clinic,
,Balanced Aesthetics Wellness,"High fit for service questions, appointment routing, and intake forms",,,https://www.instagram.com/balancedaestheticswellness/,,,False,Balanced Aesthetics Wellness,,Medical spa / wellness,"Atlanta, Georgia",instagram,wellness clinic,
,Atlanta Clinic of Wholistic Chiropractic,High fit for new patient FAQ chatbot and appointment request automation,,,https://www.instagram.com/atlwc22/,,,False,Atlanta Clinic of Wholistic Chiropractic,,Chiropractic clinic,"Atlanta, Georgia",instagram,chiropractic clinic,
,Atlanta Plumber,"High fit for emergency inquiry triage, quote request automation, and email sorting",,,https://www.instagram.com/atlplumbingcompany/,,,False,Atlanta Plumber,,Home services / plumbing,"Atlanta, Georgia",instagram,home service business,
,Atlanta Storm Roofing Company,High fit for roof inspection lead intake and storm damage quote request automation,,,https://www.instagram.com/atlanta_storm_roofing/,,,False,Atlanta Storm Roofing Company,,Roofing / home services,"Atlanta, Georgia",instagram,home service business,
,Atlanta Roofing Company,High fit for roofing lead qualification and project detail collection chatbot,,,https://www.instagram.com/atlantaroofingcompany/,,,False,Atlanta Roofing Company,,Roofing / home services,"Atlanta, Georgia",instagram,home service business,
,Home Best Roofing,High fit for estimate request workflow and routine inquiry responses,,,https://www.instagram.com/homebestroofing/,,,False,Home Best Roofing,,Roofing / home services,"Atlanta, Georgia",instagram,home service business,
,Bell Roofing Company Atlanta,High fit for roof repair/replacement FAQ assistant and appointment scheduling,,,https://www.instagram.com/bellroofing/,,,False,Bell Roofing Company Atlanta,,Roofing / home services,"Atlanta, Georgia",instagram,home service business,
,Shani Brooks Law,High fit for personal injury client intake and case qualification assistant,,,https://www.instagram.com/shanibrooksinjurylaw/,,,False,Shani Brooks Law,,Law firm,"Atlanta, Georgia",instagram,law firm marketing,
,Atlanta Law Firm,High fit for AI intake form assistant and automated email sorting,,,https://www.instagram.com/thelmfirm/,,,False,Atlanta Law Firm,,Law firm,"Atlanta, Georgia",instagram,law firm marketing,
,Atlanta’s Law Firm LLC,"High fit for practice-area FAQ assistant, consultation requests, and lead routing",,,https://www.instagram.com/atlantaslawfirm/,,,False,Atlanta’s Law Firm LLC,,Law firm,"Atlanta, Georgia",instagram,law firm marketing,
,RC Law Firm,High fit for accident/injury case intake chatbot and lead classification,,,https://www.instagram.com/rc_lawfirm/,,,False,RC Law Firm,,Personal injury law,"Atlanta, Georgia",instagram,law firm marketing,
,South Atlanta Family Law,High fit for consultation intake automation and routine FAQ assistant,,,https://www.instagram.com/southatlantafamilylaw/,,,False,South Atlanta Family Law,,Family law firm,"Atlanta, Georgia",instagram,law firm marketing,
,Peynado Law Firm,High fit for multilingual immigration FAQ/intake assistant,,,https://www.instagram.com/peynadolawfirm/,,,False,Peynado Law Firm,,Immigration law,"Atlanta, Georgia",instagram,law firm marketing,
,The McPhillip Firm,High fit for case intake chatbot and automated lead classification,,,https://www.instagram.com/tmf_wins/,,,False,The McPhillip Firm,,Personal injury law,"Atlanta, Georgia",instagram,law firm marketing,
,Atlanta Tax & Accounting Firm,"Medium-high fit for tax season inquiry sorting, FAQ chatbot, and document reminders",,,https://www.instagram.com/atl.accountants/,,,False,Atlanta Tax & Accounting Firm,,Accounting firm,"Atlanta, Georgia",instagram,accounting firm,
,The Fair Way Insurance Agency,High fit for quote request automation and policy FAQ assistant,,,https://www.instagram.com/thefairwayagency/,,,False,The Fair Way Insurance Agency,,Insurance agency,"Atlanta, Georgia",instagram,insurance agency,
,Dave Allen Agency,High fit for auto/home/business insurance quote inquiry routing,,,https://www.instagram.com/atlanta_insurance/,,,False,Dave Allen Agency,,Insurance agency,"Atlanta, Georgia",instagram,insurance agency,
,Allstate Insurance Atlanta Metro,Medium-high fit for policy FAQ bot and quote lead capture,,,https://www.instagram.com/atlantametroagency/,,,False,Allstate Insurance Atlanta Metro,,Insurance agency,"Atlanta, Georgia",instagram,insurance agency,
,Courtney Rundell - Atlanta Real Estate,High fit for buyer/seller lead qualification chatbot and showing request automation,,,https://www.instagram.com/realtyofatl/,,,False,Courtney Rundell - Atlanta Real Estate,,Real estate agent,"Atlanta, Georgia",instagram,real estate agent,
,Yvonne Wong EXP Realty,High fit for real estate FAQ assistant and lead routing by buyer/seller/investor,,,https://www.instagram.com/yvonnewongexprealty/,,,False,Yvonne Wong EXP Realty,,Real estate agent,"Atlanta, Georgia",instagram,real estate agent,
,Lindsay Levin Realtor,"High fit for automated intake for buyers, sellers, and relocation clients",,,https://www.instagram.com/lindsaylevinrealtor/,,,False,Lindsay Levin Realtor,,Real estate agent,"Atlanta, Georgia",instagram,real estate agent,
,Molly Slesnick Atlanta Real Estate,"High fit for listings, consultations, and neighborhood FAQ website assistant",,,https://www.instagram.com/mollymarie_atl/,,,False,Molly Slesnick Atlanta Real Estate,,Real estate agent,"Atlanta, Georgia",instagram,real estate agent,
,Chantelle Murray Real Estate,High fit for property inquiry lead qualification chatbot,,,https://www.instagram.com/chantellesellsrealestate/,,,False,Chantelle Murray Real Estate,,Real estate agent,"Atlanta, Georgia",instagram,real estate agent,
,Good Hair Social Club,"High fit for booking FAQ assistant for services, pricing, availability, and policies",,,https://www.instagram.com/goodhairsocialclub/,,,False,Good Hair Social Club,,Salon / hair,"Atlanta, Georgia",instagram,salon owner,
,The Rose Digital Solutions,Partner lead for white-label chatbot builds for SMB website clients,,,https://www.instagram.com/therosedigitalsolutions/,,,False,The Rose Digital Solutions,,Web design agency,"Atlanta, Georgia",instagram,web design agency,
,Bear Double Design,Partner lead for fixed-scope AI chatbot add-ons for client websites,,,https://www.instagram.com/beardoubledesign/,,,False,Bear Double Design,,Web design agency,"Atlanta, Georgia",instagram,web design agency,
,Wix Edit Design Agency,Partner lead for AI FAQ/booking assistant as website upsell,,,https://www.instagram.com/wixeditdesignagency/,,,False,Wix Edit Design Agency,,Web design agency,"Atlanta, Georgia",instagram,web design agency,
,Brand SearchWorks,Partner lead for white-label automation packages for agency clients,,,https://www.instagram.com/brandsearchworks/,,,False,Brand SearchWorks,,SEO / digital marketing,"Atlanta, Georgia",instagram,digital marketing agency,
,Candied Bacon Agency,Partner lead for AI lead capture chatbot for campaign landing pages,,,https://www.instagram.com/candiedbaconagency/,,,False,Candied Bacon Agency,,Digital marketing agency,"Atlanta, Georgia",instagram,digital marketing agency,
,The Atlanta Business Connector,Referral lead / directory for Atlanta SMB owners needing automation,,,https://www.instagram.com/atlantasmallbusinesses/,,,False,The Atlanta Business Connector,,SMB network / directory,"Atlanta, Georgia",instagram,Atlanta small business,
