lead_id,name,headline,bio,instagram_url,youtube_url,google_maps_url,website,follower_count,is_business_account,rating,review_count,phone,company_name,company_size,company_industry,location,source,discovered_via_keyword,created_at
,Knapp Commercial Advisors,Mid-market CRE advisory,,,,,https://www.knappcre.com/,,False,,,(404) 370-0092,,,Commercial Real Estate Brokerage/Advisory,"Atlanta, GA",google_maps,,
,BellStreet,Regional CRE brokerage,,,,,http://www.bellstreet.com/,,False,,,(404) 500-5800,,,Commercial Real Estate Brokerage,"Atlanta, GA",google_maps,,
,THE KACINO REAL ESTATE GROUP (KRG),Boutique CRE deal shop,,,,,http://www.krgatl.com/,,False,,,(404) 820-0150,,,Commercial Real Estate Brokerage,"Atlanta, GA",google_maps,,
,Colliers Atlanta,Capital markets/brokerage,,,,,https://www.colliers.com/en/united-states/cities/atlanta,,False,,,(404) 888-9000,,,Commercial Real Estate Brokerage/Capital Markets,"Atlanta, GA",google_maps,,
,Rooker Co,Industrial developer,,,,,http://rookerco.com/,,False,,,(770) 491-7711,,,Industrial Real Estate Developer,"Atlanta, GA",google_maps,,
,Catalyst Development Partners,Multifamily developer,,,,,https://www.catalystdp.com/,,False,,,(678) 949-9678,,,Multifamily Real Estate Developer,"Atlanta, GA",google_maps,,
,Hatteras Sky,Mixed-use developer,,,,,https://hatterassky.com/contact/,,False,,,(404) 905-2163,,,Mixed-Use Real Estate Developer,"Atlanta, GA",google_maps,,
,Shelton McNally Real Estate Partners,Multifamily investment/development,,,,,http://www.sheltonmcnally.com/,,False,,,(770) 858-5320,,,Multifamily Investment/Developer,"Atlanta, GA",google_maps,,
,Gene Kansas | Commercial Real Estate,Developer/agency,,,,,http://www.genekansas.com/,,False,,,(404) 635-0027,,,Commercial Real Estate Developer/Agency,"Atlanta, GA",google_maps,,
,Verv Commercial Real Estate,Boutique CRE brokerage,,,,,https://www.vervcre.com/,,False,,,(704) 796-4885,,,Commercial Real Estate Brokerage,"Charlotte, NC",google_maps,,
,The Nichols Company,Active investment sales brokerage,,,,,https://thenicholscompany.com/,,False,,,(704) 373-9797,,,Commercial Real Estate Brokerage,"Charlotte, NC",google_maps,,
,Piedmont Properties/CORFAC,Industrial-focused brokerage,,,,,http://www.piedmontproperties.com/,,False,,,(704) 375-1101,,,Industrial CRE Brokerage,"Charlotte, NC",google_maps,,
,MPV Properties,Brokerage/development,,,,,http://mpvre.com/,,False,,,(704) 248-2100,,,Commercial Real Estate Brokerage/Developer,"Charlotte, NC",google_maps,,
,Beacon Partners,Industrial developer/investor,,,,,https://beacondevelopment.com/,,False,,,(704) 597-7757,,,Industrial Developer/Investor,"Charlotte, NC",google_maps,,
,The Cauble Group,Brokerage/development,,,,,http://www.tylercauble.com/,,False,,,(615) 854-7188,,,Commercial Real Estate Brokerage/Developer,"Nashville, TN",google_maps,,
,Foundry Commercial (Nashville),Brokerage/PM/Capital Markets,,,,,http://www.foundrycommercial.com/,,False,,,(615) 997-0010,,,Commercial Real Estate Services,"Nashville, TN",google_maps,,
,Colliers Nashville,Capital markets/brokerage,,,,,http://www.colliers.com/nashville,,False,,,(615) 850-2700,,,Commercial Real Estate Brokerage/Capital Markets,"Nashville, TN",google_maps,,
,Fausto Commercial,Urban infill brokerage,,,,,http://www.faustocommercial.com/,,False,,,(754) 219-9099,,,Commercial Real Estate Brokerage,"Miami, FL",google_maps,,
,FA Commercial,Investment sales brokerage,,,,,http://www.facommercial.com/,,False,,,(786) 262-3771,,,Commercial Real Estate Brokerage/Investment Sales,"Miami, FL",google_maps,,
,Dark Horse Commercial Real Estate,Boutique brokerage,,,,,https://darkhorse-commercial.com/,,False,,,(305) 987-3053,,,Commercial Real Estate Brokerage,"Miami, FL",google_maps,,
,Palmer Property Group,Mid-market brokerage,,,,,http://www.palmerpropertygroup.com/,,False,,,(305) 741-3056,,,Commercial Real Estate Brokerage,"Miami, FL",google_maps,,
,Mast Capital,Real estate developer,,,,,http://mastcapital.com/,,False,,,(305) 531-2426,,,Real Estate Developer,"Miami, FL",google_maps,,
,Tampa Bay Industrial Advisors (Cushman & Wakefield),Industrial specialists,,,,,http://www.tampabayindustrialadvisors.com/,,False,,,(813) 424-3202,,,Industrial CRE Brokerage Team,"Tampa, FL",google_maps,,
,RPH Multifamily of Marcus & Millichap,Multifamily investment sales team,,,,,https://www.rphmultifamily.com/,,False,,,(813) 387-4847,,,Multifamily Investment Sales Team,"Tampa, FL",google_maps,,
,Argyle Real Estate Partners,Investment manager,,,,,https://www.argylerep.com/,,False,,,(813) 392-2777,,,Real Estate Investment Manager,"Tampa, FL",google_maps,,
,Carter Multifamily,Investment firm,,,,,http://www.cartermultifamily.com/,,False,,,(813) 281-1023,,,Real Estate Investment Firm,"Tampa, FL",google_maps,,
,CityPlat,Brokerage/investment,,,,,http://cityplat.com/,,False,,,(919) 650-2643,,,Commercial Real Estate Brokerage/Investment,"Raleigh, NC",google_maps,,
,Blue Heron Asset Management,Asset management/investor/developer,,,,,http://blueheronassetmanagement.com/,,False,,,(919) 489-8656,,,Real Estate Asset Management/Investment/Development,"Raleigh, NC",google_maps,,
,Beacon Street Development,Residential/mixed-use developer,,,,,http://www.beacon-street.com/,,False,,,(919) 785-1445,,,Real Estate Developer,"Raleigh, NC",google_maps,,
,Atlas Stark,Developer,,,,,https://atlasstark.com/,,False,,,(919) 289-1338,,,Real Estate Developer,"Raleigh, NC",google_maps,,
,Capital Associates,Developer/owner-operator,,,,,http://www.capitalassociates.com/,,False,,,(919) 233-9901,,,Real Estate Developer/Owner-Operator,"Raleigh, NC",google_maps,,
